td_item,identification_latency,is_self_identified
CAMEL-149|0,20,True
CAMEL-251|0,114,False
CAMEL-721|0,104,False
CAMEL-789|0,507,False
CAMEL-1107|0,449,False
CAMEL-1112|0,5,False
CAMEL-1173|0,0,True
CAMEL-1196|0,331,False
CAMEL-1228|0,4,False
CAMEL-1256|0,505,False
CAMEL-1256|1,505,False
CAMEL-1270|0,95,False
CAMEL-1447|0,22,True
CAMEL-1507|0,339,False
CAMEL-1641|0,712,False
CAMEL-1842|0,181,False
CAMEL-1944|0,793,False
CAMEL-2094|0,352,False
CAMEL-2535|0,379,False
CAMEL-2559|0,884,False
CAMEL-2650|0,198,True
CAMEL-2682|0,417,False
CAMEL-2756|0,0,False
CAMEL-2879|0,0,False
CAMEL-2892|0,167,False
CAMEL-3048|0,37,False
CAMEL-3050|0,0,True
CAMEL-3077|0,119,False
CAMEL-3100|0,432,False
CAMEL-3112|0,1128,False
CAMEL-3125|0,549,False
CAMEL-3315|0,68,False
CAMEL-4132|0,804,False
CAMEL-4357|0,222,False
CAMEL-4357|1,3,True
CAMEL-4398|0,0,True
CAMEL-4736|0,0,True
CAMEL-6043|0,2016,False
CAMEL-6403|0,2251,False
CAMEL-8091|0,517,False
CAMEL-8174|1,0,True
CAMEL-9338|0,1742,True
CAMEL-9616|0,648,False
CAMEL-9752|0,577,False
CAMEL-10048|0,269,False
CAMEL-10476|0,1609,False
CAMEL-10507|0,613,False
CAMEL-10517|0,500,False
CAMEL-10678|0,24,False
CAMEL-10950|0,168,False
CAMEL-11171|0,40,False
CAMEL-11196|0,40,True
CAMEL-11282|0,263,True
CAMEL-11524|0,3089,False
CAMEL-11868|1,22,False
CAMEL-11868|0,22,False
CAMEL-12104|0,2596,False
CAMEL-12104|2,607,False
CAMEL-12104|1,63,False
CAMEL-12624|0,944,False
CAMEL-12646|0,542,False
CAMEL-13681|0,8,True
HADOOP-6151|0,57,True
HADOOP-6229|0,106,False
HADOOP-6283|0,127,False
HADOOP-6374|0,179,True
HADOOP-6435|0,206,False
HADOOP-6839|0,31,False
HADOOP-6839|1,31,False
HADOOP-6925|0,455,False
HADOOP-7375|0,479,True
HADOOP-7924|0,5,False
HADOOP-8341|0,324,False
HADOOP-8633|0,272,False
HADOOP-8985,364,False
HADOOP-9791|0,1533,False
HADOOP-10106|0,814,False
HADOOP-10169|0,845,False
HADOOP-10169|1,845,False
HADOOP-10214|0,2,False
HADOOP-10214|1,2,False
HADOOP-10343|0,160,False
HADOOP-10353|0,910,False
HADOOP-10432|0,607,True
HADOOP-10485|0,0,True
HADOOP-10496|0,962,False
HADOOP-10499|0,963,False
HADOOP-10526|0,102,False
HADOOP-10681|0,1021,False
HADOOP-10681|1,1021,False
HADOOP-10681|2,1021,False
HADOOP-10729|0,966,False
HADOOP-10979|0,0,True
HADOOP-11013|0,8,True
HADOOP-11014|0,19,False
HADOOP-11063|0,122,False
HADOOP-11103|0,501,False
HADOOP-11117|0,1124,False
HADOOP-11201|0,1220,False
HADOOP-11379|0,1196,False
HADOOP-11421|0,1210,False
HADOOP-11523|0,113,False
HADOOP-11544|0,124,False
HADOOP-11607|0,155,False
HADOOP-11658|0,1704,False
HADOOP-11730|0,190,False
HADOOP-11837,16,False
HADOOP-12135|0,87,True
HADOOP-12368|0,1467,False
HADOOP-12520|0,504,True
HADOOP-12701|0,255,False
HADOOP-12733|0,1612,False
HADOOP-12733|1,1612,False
HADOOP-12811|0,357,False
HADOOP-12829|0,236,False
HADOOP-12888|0,270,False
HADOOP-12923|0,1663,False
HADOOP-12952|0,1618,False
HADOOP-13158|0,4,False
HADOOP-14351|0,36,False
HADOOP-14942|0,2085,False
HADOOP-16435|0,2990,False
HADOOP-16461|0,2207,False
HBASE-506|0,40,False
HBASE-980|0,0,True
HBASE-1054|0,23,False
HBASE-1298|0,242,False
HBASE-1396|0,2,True
HBASE-1655|0,70,False
HBASE-1655|1,59,False
HBASE-2085|0,507,False
HBASE-2241|0,275,True
HBASE-2969|0,386,False
HBASE-3368|0,786,False
HBASE-3625|0,294,False
HBASE-3807|0,871,True
HBASE-3807|1,904,True
HBASE-4088|0,202,True
HBASE-4250|0,131,False
HBASE-10008|0,99,False
HBASE-10631|0,518,False
HBASE-10968|0,145,False
HBASE-10968|1,145,False
HBASE-11011|0,356,False
HBASE-11229|0,561,False
HBASE-11511|0,38,False
HBASE-11621|0,708,False
HBASE-12030|0,1,False
HBASE-12059|0,440,False
HBASE-12106|0,443,False
HBASE-12238|0,103,True
HBASE-12464|0,203,False
HBASE-12464|1,407,False
HBASE-12833|0,41,False
HBASE-12833|1,473,False
HBASE-12833|2,473,False
HBASE-13395|0,86,False
HBASE-13710|0,342,False
HBASE-13871|0,554,False
HBASE-13905|0,136,False
HBASE-14494|0,360,False
HBASE-14517|0,195,True
HBASE-14517|1,195,True
HBASE-14604|0,537,False
HBASE-14604|1,537,False
HBASE-15192|0,1042,False
HBASE-15617|0,213,False
HBASE-15640|0,673,True
HBASE-15835|0,1451,False
HBASE-15835|2,63,False
HBASE-15835|1,354,False
HBASE-16157|0,1660,False
HBASE-16856|0,995,False
HBASE-17101|0,20,True
HBASE-17184|0,4,False
HBASE-17338|0,50,False
HBASE-17480|0,1626,False
HBASE-18085|0,66,True
HBASE-18092|0,153,False
HBASE-18180|0,1838,False
HBASE-18646|0,1,True
HBASE-19073|0,1250,False
HBASE-19183|0,1110,False
HBASE-19241|0,130,False
HBASE-19373|0,1150,False
HBASE-19478|0,110,False
HBASE-19531|0,1755,False
HBASE-19815|0,35,True
HBASE-20100|1,272,True
HBASE-20975|0,557,False
HBASE-21160|0,1022,False
HBASE-21589|0,6,False
HBASE-22174|0,471,False
IMPALA-231|0,1,False
IMPALA-231|1,1,False
IMPALA-321|0,34,False
IMPALA-322|0,11,False
IMPALA-330|0,121,True
IMPALA-563|0,371,False
IMPALA-636|0,73,True
IMPALA-710|0,77,False
IMPALA-979|0,170,False
IMPALA-1013|0,49,False
IMPALA-1022|0,2,True
IMPALA-1120|0,273,False
IMPALA-1147|0,427,False
IMPALA-1290|0,32,True
IMPALA-1430|0,728,False
IMPALA-1493|0,147,False
IMPALA-1596|0,154,True
IMPALA-1598|0,119,False
IMPALA-1651|0,298,False
IMPALA-1691|0,130,False
IMPALA-1774|0,11,False
IMPALA-1929|0,231,True
IMPALA-1934|0,293,False
IMPALA-1963|0,226,False
